City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,uttar char fasson,22.2332,90.7132,28.12,59,9,0.95,BD,1682643941
291,santa helena de goias,-17.8136,-50.5969,21.54,80,1,2.66,BR,1682643942
292,les cayes,18.2,-73.75,24.97,81,84,0.96,HT,1682643942
293,ballina,-28.8667,153.5667,22.1,62,1,2.27,AU,1682643942
294,salalah,17.0151,54.0924,29.05,79,40,1.54,OM,1682643942
295,masterton,-40.9597,175.6575,14.94,65,21,1.72,NZ,1682643943
296,acarau,-2.8856,-40.12,23.67,88,100,2.44,BR,1682643427
297,richfield,44.8833,-93.283,14.43,69,100,4.63,US,1682643912
298,nguigmi,14.2495,13.1092,28.99,16,22,3.47,NE,1682643455
299,gimbi,9.1667,35.8333,14.09,89,100,0.7,ET,1682643944
300,castillos,-34.1667,-53.8333,14.43,90,100,1.96,UY,1682643426
301,bonadelle ranchos-madera ranchos,36.9847,-119.8746,33.4,27,8,3.03,US,1682643944
302,lawrenceburg,38.0373,-84.8966,16.94,79,100,4.63,US,1682643945
303,christchurch,-43.5333,172.6333,18.01,73,0,6.69,NZ,1682643876
304,taco pozo,-25.6167,-63.2833,19.32,75,6,2.51,AR,1682643945
305,boguchany,58.3814,97.4531,2.13,90,100,2.28,RU,1682643945
306,port isabel,26.0734,-97.2086,24.47,88,100,3.09,US,1682643946
307,retreat,38.8245,-85.8533,14.69,90,100,4.22,US,1682643466
308,antofagasta,-23.65,-70.4,17.6,79,20,3.19,CL,1682643381
309,barstow heights,34.8697,-117.0562,30.95,7,0,3.09,US,1682643946
310,zayed city,24.3768,54.589,25.56,44,0,2.57,AE,1682643947
311,wynyard,-41.0,145.7167,11.32,83,100,6.78,AU,1682643947
312,oranjemund,-28.55,16.4333,13.67,93,2,2.67,NA,1682643452
313,kovdor,67.5662,30.4758,-4.37,96,49,2.44,RU,1682643948
314,westport,41.1415,-73.3579,10.51,89,100,1.79,US,1682643693
315,datong,40.0936,113.2914,12.55,33,64,5.39,CN,1682643948
316,priozersk,61.0393,30.1291,4.5,92,100,3.83,RU,1682643948
317,skovorodino,53.9833,123.9167,6.05,49,54,1.74,RU,1682643949
318,tralee,52.2704,-9.7026,10.52,95,94,2.04,IE,1682643189
319,st. john's,47.5649,-52.7093,0.93,94,100,6.17,CA,1682643349
320,prince rupert,54.3161,-130.3201,10.05,60,100,2.57,CA,1682643310
321,rib mountain,44.9128,-89.6754,13.58,62,20,3.6,US,1682643803
322,newman,37.3138,-121.0208,33.13,26,8,2.24,US,1682643470
323,watertown,42.3709,-71.1828,10.23,85,0,3.6,US,1682643950
324,tionk essil,12.7856,-16.5217,23.03,64,4,3.97,SN,1682643950
325,ludhiana,30.9,75.85,21.72,81,100,2.31,IN,1682643951
